timestamp,mape,rmse,psi,ks_drifted,overall_drift
2010-09-01,41.09996622139955,0.4444875142280301,0.5258278826709275,3,True
2010-09-08,51.19266162731567,0.4275165240036001,0.44909122009662505,3,True
2010-09-15,49.10334509912011,0.41857760272895667,0.15203410034734227,2,False
2010-09-22,37.46688360057774,0.3783087150670473,0.5973307074269069,3,True
2010-09-29,44.127206748813414,0.5380636020180852,4.482356956688648,3,True
2010-10-06,35.99539903293358,0.4534033057774222,4.449527220348757,3,True
2010-10-13,37.95944515863649,0.5316047880534295,4.352724759821642,3,True
2010-10-20,46.934795262598165,0.5130862025621251,4.252593053121624,3,True
2010-10-27,61.242378673833386,0.5735827543037786,4.378677301991316,3,True
2010-11-03,39.899092576702714,0.5377969704049245,4.261730908579431,3,True
2010-11-10,48.577915340003585,0.6384581198106245,2.154136595866313,3,True
2010-11-17,48.585681546613706,0.5768172452628161,2.119843818458238,3,True
2010-11-24,37.63025587182585,0.3662544475926375,2.2344845742953776,2,True
