policy,scenario,mean_mape,median_mape,std_mape,num_retrains,total_retrain_time_seconds,final_mape
policy0,baseline,42.562230676451314,42.00927329469068,5.3775464505903505,0,0.0,36.25189252174808
policy2,baseline,47.467342878398405,44.39164405108796,12.937753018041478,7,0.849182605743408,43.04008853417757
policy1,baseline,48.347768078229336,46.11922924536484,12.656048856276914,42,4.54701256752014,40.754749828200325
policy3,baseline,48.347768078229336,46.11922924536484,12.656048856276914,42,4.942231416702269,40.754749828200325
policy0,holiday_drift,47.39584240712089,47.39584240712089,13.248456447689685,0,0.0,38.02776901270487
policy2,holiday_drift,47.39584240712089,47.39584240712089,13.248456447689685,0,0.0,38.02776901270487
policy1,holiday_drift,47.51343744239762,47.51343744239762,13.082151953933593,2,0.2225193977355956,38.26295908325833
policy3,holiday_drift,47.51343744239762,47.51343744239762,13.082151953933593,2,0.2745296955108642,38.26295908325833
policy0,long_term_drift,42.9486355137137,41.67485259859512,7.799244178615699,0,0.0,34.021774084931046
policy2,long_term_drift,44.60115590464415,44.12720674881341,7.245917824454448,1,0.1103990077972412,37.63025587182585
policy1,long_term_drift,50.11903759869612,49.06725378650472,10.46827611477988,13,1.516569852828979,35.736085411206496
policy3,long_term_drift,50.11903759869612,49.06725378650472,10.46827611477988,13,1.9243407249450684,35.736085411206496
policy0,seasonal_drift_summer,42.51612206428561,40.69700748772338,8.5782632847637,0,0.0,46.76091785341436
policy2,seasonal_drift_summer,42.51612206428561,40.69700748772338,8.5782632847637,0,0.0,46.76091785341436
policy1,seasonal_drift_summer,61.974618390208484,55.75893434207718,28.223478557929372,9,1.062690734863281,55.75893434207718
policy3,seasonal_drift_summer,61.974618390208484,55.75893434207718,28.223478557929372,9,1.345079183578491,55.75893434207718
policy0,seasonal_drift_winter,40.48449201839426,39.49706166008568,7.048661654593459,0,0.0,54.99990266507989
policy2,seasonal_drift_winter,40.48449201839426,39.49706166008568,7.048661654593459,0,0.0,54.99990266507989
policy1,seasonal_drift_winter,44.64164999450898,45.48647365609412,10.262720888861097,9,1.002132415771484,67.99314420411817
policy3,seasonal_drift_winter,44.64164999450898,45.48647365609412,10.262720888861097,9,1.317961454391479,67.99314420411817
