timestamp,mape,rmse,psi,ks_drifted,overall_drift
2009-07-01 00:00:00,44.39164405108796,0.4171324677885068,2.584617842557529,3,True
2009-07-08 00:00:00,57.38441150687661,0.40468413451060964,0.49908318160621756,3,True
2009-07-15 00:00:00,107.96562509062228,0.5017528777696404,2.717949722801205,3,True
2009-07-22 00:00:00,79.98342395937941,0.39485405934905843,4.5892619543407775,3,True
2009-07-29 00:00:00,61.54087276414359,0.353133113899442,1.0729164723992979,3,True
2009-08-05 00:00:00,39.21103234692473,0.3935801046177993,1.1361074163911822,3,True
2009-08-12 00:00:00,45.15588049427684,0.4939170069192778,2.47360547801281,3,True
2009-08-19 00:00:00,50.14698258375658,0.43155876410054733,2.713823899501578,3,True
2009-08-26 00:00:00,49.142376676693694,0.4885283371356584,2.527570710998895,3,True
2009-09-02 00:00:00,55.2014806911223,0.47498729958278724,0.3524494655248367,3,True
2009-09-09 00:00:00,52.360507842792025,0.5820503331477094,0.35494545992906024,2,True
2009-09-16 00:00:00,50.53233422432528,0.5133222874398969,0.36240404196880566,2,True
2009-09-23 00:00:00,50.882034648978504,0.4535954314536697,0.26426018613812474,2,True
2009-09-30 00:00:00,57.39503986932946,0.5188263324780767,0.10062284117664813,1,True
2009-10-07 00:00:00,40.17924310356711,0.5359336554359468,2.5374093788955365,2,True
2009-10-14 00:00:00,40.25889417605642,0.5088367430826151,2.438383748878373,3,True
2009-10-21 00:00:00,44.73562406379206,0.6139939626238065,2.387798646705544,3,True
2009-10-28 00:00:00,51.8831848848988,0.6529281350460483,2.1509697717923606,3,True
2009-11-04 00:00:00,50.26225053189768,0.5463099116138682,2.363937025829781,3,True
2009-11-11 00:00:00,47.91116001701442,0.5499639141907655,2.354115243495555,3,True
2009-11-18 00:00:00,37.02790918083121,0.6275609901517608,2.3683454191021074,3,True
2009-11-25 00:00:00,39.80175334268573,0.5149526066467192,2.3224400506751084,3,True
2009-12-02 00:00:00,32.943378209988225,0.5080046726948454,4.305802726645558,3,True
2009-12-09 00:00:00,44.767038559900776,0.5465112023203905,2.2800699315958552,3,True
2009-12-16 00:00:00,46.119229245364835,0.48435172544385247,2.2986471137084403,3,True
2010-03-03 01:00:00,55.11401229871259,0.5334269252434675,4.513444091275732,3,True
2010-03-10 01:00:00,35.452043077013215,0.49609011182183854,4.297930692667018,3,True
2010-03-17 01:00:00,36.16817483393173,0.42311894531998573,2.4907735594481673,3,True
2010-03-24 01:00:00,35.33626385979381,0.4939195518749944,4.285886433212127,3,True
2010-03-31 01:00:00,44.53603477653213,0.500323705879268,2.374951368121777,3,True
2010-04-07 01:00:00,49.81298557294737,0.47605348336568837,2.481311134789436,3,True
2010-04-14 01:00:00,38.02378322304395,0.4716668788912515,4.536215559281146,3,True
2010-04-21 01:00:00,49.23251160262701,0.4481905754161102,4.782778664131284,3,True
2010-04-28 01:00:00,48.21689030882752,0.5478559670198246,4.558709613010595,3,True
2010-05-05 01:00:00,43.921141783529386,0.5024162241101743,4.394467908844734,3,True
2010-05-12 01:00:00,42.5694836556544,0.54109893542388,4.490947038632204,3,True
2010-05-19 01:00:00,41.04143186756048,0.4186031043179749,4.705947406028812,3,True
2010-05-26 01:00:00,45.469699778896484,0.4971977884870852,0.38450946777350936,3,True
2010-06-02 01:00:00,57.89712399896418,0.5699089231846796,0.39414473182870097,3,True
2010-06-09 01:00:00,38.3237421417824,0.41144530112759153,2.3563982361435807,3,True
2010-06-16 01:00:00,48.14323037178001,0.48386224231777225,0.4144283360060916,3,True
2010-06-23 01:00:00,51.757412317758025,0.4429109055818546,2.566553253971537,3,True
2010-06-30 01:00:00,40.754749828200325,0.4315596711060374,6.7136006238947505,2,True
